Name,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,HDBID,Image URL
Buffy,"Pop! Television, Pop! Vinyl",Funko,,849803039837,2014,,,121,316959,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456585/Buffy_Vinyl_Art_Toys_83b00c38-2af4-467f-b6c9-3390fa0f1311_medium.jpg
Buzz Lightyear,"Pop! Disney, Pop! Vinyl, ‘Disney’ & ‘Disney Store’ - Series 1",Funko,,830395023434,2011,,,2,316962,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1385818/Buzz_Lightyear_Vinyl_Art_Toys_c3521b49-b64b-4355-a589-514a337b2816_medium.png
C-3PO,"Pop! Vinyl, Pop! Star Wars",Funko,,849803062194,2015,,"3.75""",64,316963,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456589/C-3PO_%2528The_Force_Awakens%2529_Vinyl_Art_Toys_6d28204d-a3f6-4474-aa81-89d2fb1b0621_medium.jpg
C-3PO,"Pop! Vinyl, Barnes & Noble, Pop! Star Wars",Funko,"{'name': 'Barnes & Noble', 'url': '/marketplaces/hobbydb/subjects/barnes-noble-retailer'}",849803062316,2015,Exclusive,,64,316964,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456590/C-3PO_%2528The_Force_Awakens%2529_%2528Chrome_Metallic%2529_Vinyl_Art_Toys_3e9c5bb4-a636-4948-8656-935ee547fbb8_medium.jpg
Captain America,"Pop! Vinyl, Pop! Marvel",Funko,,830395022246,2011,,,06,316965,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456591/Captain_America_Vinyl_Art_Toys_406e62f5-6d2c-48c9-a0db-240a7263c56a_medium.jpg
Captain America,"Pop! Vinyl, Pop! Marvel, Gemini Collectibles",Funko,"{'name': 'Gemini Collectibles', 'url': '/marketplaces/hobbydb/subjects/gemini-collectibles-retailer'}",830395022246,2011,Exclusive,,6,316966,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456592/Captain_America_%2528Black_and_White%2529_Vinyl_Art_Toys_4f8561cb-0085-4757-b1a6-7308782e55e7_medium.jpg
Captain America,"Pop! Vinyl, Pop! Marvel",Funko,,830395022246,Jul 2011,"Exclusive, Limited Edition",,6,316967,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321742/Captain_America_Vinyl_Art_Toys_77c752bb-fab2-4814-aa36-756fff5bdedf_medium.png
Carey Price,"Pop! Vinyl, Pop! Hockey",Funko,,889698112123,2016,,,6,316968,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456594/Carey_Price_Vinyl_Art_Toys_c692859c-efb1-4efd-884b-2e6d686c2456_medium.jpeg
Carey Price,"Pop! Vinyl, Pop! Hockey",Funko,,889698112802,2016,Exclusive,,6,316969,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456595/Carey_Price_%2528Away%2529_Vinyl_Art_Toys_981dbad7-f673-49b4-aeb0-c86c97b95209_medium.jpeg
Catbug,"Pop! Animation, Pop! Vinyl",Funko,,849803050412,2015,,,25,316970,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456596/Catbug_Vinyl_Art_Toys_da9f432c-32ae-42bb-9a4e-d2f3a00b8910_medium.jpg
Catbug,"Pop! Animation, Pop! Vinyl, Toy Tokyo",Funko,,849803056407,2015,Limited Edition,"3.75""",25,316971,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456597/Catbug_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_30124791-2218-4e49-b962-ae4c974cb62c_medium.jpg
Catbug,"Pop! Animation, Pop! Vinyl, Entertainment Earth",Funko,"{'name': 'Entertainment Earth', 'url': '/marketplaces/hobbydb/subjects/entertainment-earth-retailer'}",849803065072,2015,Exclusive,,25,316972,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321770/Catbug_%2528Commander%2529_Vinyl_Art_Toys_942336ad-d28e-4f48-8675-16b5b09f59c7_medium.png
Catbug,"Pop! Animation, Pop! Vinyl",Funko,"{'name': 'New York Comic Con', 'url': '/marketplaces/hobbydb/subjects/new-york-comic-con-event-series'}",849803057152,Oct 2015,"Exclusive, Limited Edition","3.75""",25,316973,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456599/Catbug_%2528Orange_-_Glow_in_the_Dark%2529_Vinyl_Art_Toys_6a6ccac3-54ac-4020-9f1a-3f01ff90afa9_medium.jpg
Cheshire Cat,"Pop! Disney, Pop! Vinyl",Funko,,830395025483,2012,"Exclusive, Limited Edition","3.75""",35,316975,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1301405/Cheshire_Cat_Vinyl_Art_Toys_333d3eb4-1300-4c85-b63c-426775a453b7_medium.jpeg
Claptrap,"Pop! Vinyl, Pop! Games",Funko,,849803055776,2015,,,44,316976,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321780/Claptrap_Vinyl_Art_Toys_2f65da3e-4a67-4b3e-bd6b-5e57641aa642_medium.png
